FactType,Param1,Param2,AID,L,R,TID,const,label,name,owneeLowerMult,owneeUpperMult,ownerLowerMult,ownerUpperMult,returnType,static,type,typeID,visibility,visiblity
Class,egiva_1022741651017_818027_877,,,,,,,Method,,,,,,,,,,,
Class,egiva_1022741653290_229704_3299,,,,,,,ReflectAccess,,,,,,,,,,,
Class,egiva_1022741653290_850723_3298,,,,,,,AccessibleObject,,,,,,,,,,,
Class,egiva_1022741653290_375272_3314,,,,,,,Proxy,,,,,,,,,,,
Class,egiva_1022741653290_534574_3311,,,,,,,UndeclaredThrowableException,,,,,,,,,,,
Class,egiva_1022741653290_381075_3304,,,,,,,Modifier,,,,,,,,,,,
Class,egiva_1022741653290_505550_3315,,,,,,,InvocationTargetException,,,,,,,,,,,
Class,egiva_1022741650526_807118_247,,,,,,,UnknownError,,,,,,,,,,,
Class,egiva_1022741650526_526417_316,,,,,,,IncompatibleClassChangeError,,,,,,,,,,,
Class,egiva_1022741650526_129684_255,,,,,,,IllegalAccessError,,,,,,,,,,,
Class,egiva_1022741650526_358383_330,,,,,,,RuntimeException,,,,,,,,,,,
Class,egiva_1022741650526_838753_296,,,,,,,ClassCastException,,,,,,,,,,,
Class,egiva_1022741650526_613595_354,,,,,,,LinkageError,,,,,,,,,,,
Class,egiva_1022741650526_905220_229,,,,,,,CloneNotSupportedException,,,,,,,,,,,
Class,egiva_1022741650526_758198_282,,,,,,,ArrayStoreException,,,,,,,,,,,
Class,egiva_1022741650516_845007_224,,,,,,,Terminator,,,,,,,,,,,
Class,egiva_1022741650526_528747_299,,,,,,,NoSuchFieldException,,,,,,,,,,,
Class,egiva_1022741650526_711075_240,,,,,,,IllegalMonitorStateException,,,,,,,,,,,
Class,egiva_1022741650526_517481_309,,,,,,,OutOfMemoryError,,,,,,,,,,,
Class,egiva_1022741650526_746190_260,,,,,,,InterruptedException,,,,,,,,,,,
Class,egiva_1022741650526_539075_349,,,,,,,SecurityManager,,,,,,,,,,,
Class,egiva_1022741650526_565030_249,,,,,,,InstantiationError,,,,,,,,,,,
Class,egiva_1022741650526_880062_245,,,,,,,System,,,,,,,,,,,
Class,egiva_1022741650526_413878_259,,,,,,,AssertionError,,,,,,,,,,,
Class,egiva_1022741650526_667051_307,,,,,,,Throwable,,,,,,,,,,,
Class,egiva_1022741650526_99846_246,,,,,,,Shutdown,,,,,,,,,,,
Class,egiva_1022741650526_511426_303,,,,,,,Double,,,,,,,,,,,
Class,egiva_1022741650526_567190_270,,,,,,,ThreadDeath,,,,,,,,,,,
Class,egiva_1022741650526_766527_319,,,,,,,NoSuchMethodException,,,,,,,,,,,
Class,egiva_1022741650526_890256_262,,,,,,,Object,,,,,,,,,,,
Class,egiva_1022741650526_521579_234,,,,,,,NoSuchFieldError,,,,,,,,,,,
Class,egiva_1022741650516_396130_225,,,,,,,NoClassDefFoundError,,,,,,,,,,,
Class,egiva_1022741650526_696473_388,,,,,,,BasicPermission,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_241383_4502,,,,,,,MagicLibraryForAdministrator,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_566554_4508,,,,,,,MagicLibraryForLibrarian,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_872614_4493,,,,,,,UserSession,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_488729_4494,,,,,,,MagicLibraryForCustomer,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506453_598534_4625,,,,,,,ImageAttribute,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506453_999302_4623,,,,,,,StringAttribute,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506468_336688_4630,,,,,,,URLAttribute,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506468_764613_4629,,,,,,,TextAttribute,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506453_254295_4627,,,,,,,NumberAttribute,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506453_890700_4628,,,,,,,MediaAttribute,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506453_420208_4624,,,,,,,AbstractAttribute,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506453_732259_4621,,,,,,,AttributeAdapter,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506453_595040_4626,,,,,,,DateAttribute,,,,,,,,,,,
